Player,Injury,Start Date,Return Date,Days Missed
 Amari Bailey,placed on IL with illness,2024-04-03,2024-04-10,7
 Amari Bailey,illness,2024-03-13,2024-03-15,2
 Amen Thompson,placed on IL with sprained right ankle,2023-11-04,2023-12-06,32
 Amen Thompson,placed on IL with illness,2023-12-13,2023-12-20,7
 Amen Thompson,placed on IL with various injuries,2024-04-05,2024-04-07,2
 Amen Thompson,tightness in left calf,2025-01-18,2025-01-20,2
 Andre Drummond,placed on IL with illness,2024-11-13,2024-11-15,2
 Andre Drummond,placed on IL with sprained right ankle,2024-12-02,2024-12-06,4
 Andre Drummond,placed on IL with left big toe injury,2024-12-25,2025-01-01,7
 Andre Drummond,placed on IL with sprained left toe,2025-01-02,2025-01-03,1
 Andre Drummond,placed on IL with sprained left toe,2025-01-12,2025-01-18,6
 Andre Drummond,toe injury,2025-01-19,2025-01-21,2
 Andre Jackson Jr.,placed on IL with illness,2024-02-27,2024-02-29,2
 Andre Jackson Jr.,placed on IL with sprained right wrist,2024-02-03,2024-02-04,1
 Andre Jackson Jr.,placed on IL with lower back spasms,2023-12-02,2023-12-05,3
 Andrew Nembhard,placed on IL with back injury,2024-01-05,2024-01-08,3
 Andrew Nembhard,placed on IL with sore left knee,2024-11-13,2024-12-01,18
 Andrew Nembhard,sore left knee,2024-11-01,2024-11-04,3
 Andrew Nembhard,placed on IL with back injury,2024-01-18,2024-01-21,3
 Andrew Nembhard,back injury,2025-01-29,2025-01-31,2
 Andrew Nembhard,placed on IL with bruised right knee,2023-12-08,2023-12-21,13
 Andrew Nembhard,placed on IL with sore lower back,2023-11-18,2023-11-24,6
 Andrew Wiggins,placed on IL with sore left ankle,2024-04-05,2024-04-09,4
 Andrew Wiggins,placed on IL with right finger injury,2023-11-30,2023-12-06,6
 Andrew Wiggins,placed on IL with illness,2023-12-22,2023-12-25,3
 Andrew Wiggins,placed on IL with sprained left ankle,2024-02-04,2024-02-07,3
 Andrew Wiggins,back injury,2024-10-29,2024-11-01,3
 Andrew Wiggins,placed on IL with right ankle impingement,2024-12-08,2024-12-15,7
 Anfernee Simons,placed on IL with surgery on right thumb,2023-10-27,2023-12-06,40
 Anfernee Simons,placed on IL with illness,2023-12-29,2024-01-03,5
 Anfernee Simons,placed on IL with illness,2024-01-19,2024-01-21,2
 Anfernee Simons,placed on IL with sprained left ankle,2024-02-09,2024-02-13,4
 Anfernee Simons,placed on IL with left knee tendinitis,2024-03-14,2024-03-16,2
 Anfernee Simons,placed on IL with illness,2024-11-13,2024-11-22,9
 Anfernee Simons,placed on IL with strained right elbow,2025-01-19,2025-01-21,2
 Anthony Black,placed on IL with back spasms,2025-01-01,2025-01-05,4
 Anthony Davis,placed on IL with Achilles injury,2024-01-30,2024-02-03,4
 Anthony Davis,placed on IL with hyperextended left knee,2024-03-27,2024-03-29,2
 Anthony Davis,headache,2024-04-09,2024-04-12,3
 Anthony Davis,heel injury,2024-11-06,2024-11-08,2
 Anthony Davis,plantar fasciitis in left foot,2025-01-17,2025-01-19,2
 Anthony Davis,left adductor injury,2023-12-15,2023-12-18,3
 Anthony Davis,left adductor injury,2023-11-08,2023-11-10,2
 Anthony Edwards,placed on IL with illness,2025-02-01,2025-02-03,2
 Anthony Edwards,placed on IL with right hip pointer,2023-12-11,2023-12-14,3
 Anthony Edwards,placed on IL with right hip pointer,2023-11-30,2023-12-06,6
 Anthony Gill,sore right knee,2024-04-07,2024-04-09,2
 Anthony Gill,left hamstring injury,2023-10-12,2023-10-28,16
 Ariel Hukporti,placed on IL with illness,2025-01-25,2025-01-27,2
 Ariel Hukporti,placed on IL with sprained left ankle,2024-12-11,2024-12-19,8
 Arron Afflalo,placed on IL,2015-02-20,2015-02-22,2
 Ausar Thompson,placed on IL with illness,2025-01-06,2025-01-09,3
 Ausar Thompson,placed on IL with groin injury,2024-12-07,2024-12-11,4
 Ausar Thompson,blood clots,2024-10-21,2024-11-11,21
 Austin Reaves,placed on IL with bruised pelvis,2024-12-01,2024-12-13,12
 Austin Rivers,left ankle injury / sore left foot,2015-02-19,2015-02-21,2
 Ayo Dosunmu,placed on IL with illness,2023-11-03,2023-11-06,3
 Ayo Dosunmu,placed on IL with strained right calf,2024-12-28,2025-01-15,18
 Ayo Dosunmu,strained soleus muscle in right calf,2025-01-20,2025-01-22,2
 Ben Sheppard,placed on IL with strained left oblique,2024-11-18,2024-12-19,31
 Ben Sheppard,placed on IL with illness,2024-03-01,2024-03-05,4
 Ben Simmons,placed on IL with sore left hip,2023-11-08,2024-01-29,82
 Ben Simmons,placed on IL with bruised left knee,2024-01-31,2024-02-01,1
 Ben Simmons,placed on IL with lower back injury,2024-02-04,2024-02-06,2
 Ben Simmons,placed on IL with left knee injury,2024-02-14,2024-02-21,7
 Ben Simmons,placed on IL with lower back injury,2024-02-27,2024-02-28,1
 Ben Simmons,placed on IL with back injury,2023-11-04,2023-11-06,2
 Ben Simmons,placed on IL with lower back injury,2024-11-04,2024-11-07,3
 Ben Simmons,placed on IL with tightness in left calf,2024-11-13,2024-11-14,1
 Ben Simmons,placed on IL with bruised left knee / lower back injury,2024-12-02,2024-12-04,2
 Ben Simmons,placed on IL with sore left calf / various injuries,2025-01-04,2025-01-09,5
 Ben Simmons,placed on IL with lower back injury,2025-01-15,2025-01-16,1
 Ben Simmons,placed on IL with illness,2025-01-21,2025-01-25,4
 Ben Simmons,placed on IL with sore lower back,2025-01-25,2025-01-28,3
 Ben Simmons,placed on IL with back injury,2025-02-03,2025-02-05,2
 Ben Simmons,placed on IL with lower back injury,2024-10-28,2024-10-30,2
 Ben Simmons,placed on IL with lower back injury,2024-11-08,2024-11-11,3
 Bennedict Mathurin,placed on IL with illness,2024-02-06,2024-02-08,2
 Bennedict Mathurin,bruised right knee,2024-02-14,2024-02-22,8
 Bennedict Mathurin,placed on IL with toe injury,2024-01-30,2024-02-02,3
 Bennedict Mathurin,illness,2025-01-29,2025-01-31,2
 Bilal Coulibaly,placed on IL with sore right groin,2024-12-23,2024-12-26,3
 Bilal Coulibaly,placed on IL with head injury,2024-11-18,2024-11-21,3
 Bilal Coulibaly,placed on IL with illness,2025-01-02,2025-01-07,5
 Bilal Coulibaly,placed on IL with bruised left knee,2023-11-24,2023-11-25,1
 Bilal Coulibaly,placed on IL with bruised pelvis,2024-02-26,2024-03-03,6
 Bismack Biyombo,sore back,2023-12-18,2023-12-19,1
 Blake Griffin,placed on IL with sore lower back,2023-05-05,2023-05-07,2
 Bobby Portis,placed on IL with bruised right elbow,2024-11-13,2024-11-16,3
 Bogdan Bogdanovic,bruised left lower leg,2025-01-04,2025-01-07,3
 Bogdan Bogdanovic,bruised quadriceps,2024-12-08,2024-12-11,3
 Bogdan Bogdanovic,placed on IL with right hamstring injury,2024-11-30,2024-12-02,2
 Bogdan Bogdanovic,placed on IL with right hamstring injury,2024-10-24,2024-11-18,25
 Bogdan Bogdanovic,illness,2024-03-15,2024-03-17,2
 Bogdan Bogdanovic,sprained right ankle,2023-12-16,2023-12-20,4
 Bogdan Bogdanovic,placed on IL with bruised left lower leg,2024-12-26,2025-01-03,8
 Bojan Bogdanovic,placed on IL with strained calf,2023-10-24,2023-12-02,39
 Bojan Bogdanovic,sore left calf,2024-02-14,2024-02-20,6
 Bojan Bogdanovic,placed on IL with sore left calf,2024-01-12,2024-01-17,5
 Bojan Bogdanovic,placed on IL with sore left calf,2024-02-08,2024-02-10,2
 Bol Bol,placed on IL with sore/sprained right foot,2024-01-14,2024-01-31,17
 Bol Bol,placed on IL with sprained right ankle,2024-01-06,2024-01-10,4
 Bol Bol,placed on IL with bruised left knee,2024-12-21,2024-12-31,10
 Bradley Beal,placed on IL with right knee injury,2024-12-13,2024-12-19,6
 Bradley Beal,placed on IL with sore right elbow,2024-10-26,2024-10-28,2
 Bradley Beal,placed on IL with sprained right elbow,2024-10-31,2024-11-02,2
 Bradley Beal,placed on IL with bruised left calf,2024-11-13,2024-11-25,12
 Bradley Beal,placed on IL with left hamstring injury,2024-02-14,2024-03-02,17
 Bradley Beal,placed on IL with tightness in lower back,2023-10-24,2023-11-08,15
 Bradley Beal,placed on IL with back spasms / strained lower back,2023-11-15,2023-12-29,44
 Bradley Beal,placed on IL with left calf injury,2024-11-30,2024-12-03,3
 Bradley Beal,placed on IL with sprained left ankle,2025-01-22,2025-01-25,3
 Bradley Beal,placed on IL with sprained left ankle,2025-01-16,2025-01-20,4
 Brandin Podziemski,placed on IL with sore right knee,2024-03-01,2024-03-05,4
 Brandin Podziemski,placed on IL with illness,2024-11-06,2024-11-08,2
 Brandin Podziemski,placed on IL with abdominal injury,2024-12-29,2025-01-23,25
 Brandon Boston Jr. / B.J. Boston Jr.,quadriceps injury,2023-10-25,2023-12-11,47
 Brandon Boston Jr. / B.J. Boston Jr.,illness,2023-12-12,2023-12-14,2
 Brandon Clarke,placed on IL with sore left toe,2024-11-13,2024-11-15,2
 Brandon Clarke,sore right knee,2024-12-29,2025-01-03,5
 Brandon Clarke,left Achilles injury,2024-04-04,2024-04-06,2
 Brandon Clarke,placed on IL with  torn left Achilles tendon,2023-10-25,2024-03-27,154
 Brandon Clarke,placed on IL with sore back,2025-02-03,2025-02-05,2
 Brandon Ingram,placed on IL with sore right Achilles,2024-01-13,2024-01-15,2
 Brandon Ingram,placed on IL with sore knee,2023-11-01,2023-11-04,3
 Brandon Ingram,placed on IL with illness,2024-02-22,2024-02-25,3
 Brandon Ingram,placed on IL with sore right calf,2024-11-25,2024-12-05,10
 Brandon Ingram,placed on IL with bruised left knee,2024-03-22,2024-04-14,23
 Brandon Ingram,placed on IL with bilateral sprained ankles,2024-11-20,2024-11-22,2
 Brandon Miller,sprained left ankle,2024-12-28,2025-01-05,8
 Brandon Miller,placed on IL with sprained left ankle,2024-12-19,2024-12-26,7
 Brandon Miller,bruised lower back,2024-03-01,2024-03-03,2
 Brandon Miller,placed on IL with bruised lower back,2024-01-17,2024-01-19,2
 Brandon Miller,placed on IL with strained left gluteal muscle,2024-10-24,2024-11-02,9
 Brandon Miller,placed on IL with sprained right ankle,2023-12-26,2023-12-28,2
 Brandon Miller,bruised left hip,2024-01-02,2024-01-04,2
 Brandon Miller,sprained left ankle,2023-11-30,2023-12-02,2
 Brandon Miller,placed on IL with sprained left ankle,2023-11-14,2023-11-17,3
 Brandon Williams (b. 1975-02-27),placed on IL with sprained right thumb,2024-12-09,2024-12-26,17
 Brandon Williams (b. 1975-02-27),placed on IL with sprained left wrist,2024-03-12,2024-03-19,7
 Braxton Key,illness,2024-02-22,2024-02-23,1
 Brice Sensabaugh,placed on IL with sprained right ankle,2025-01-22,2025-01-24,2
 Brice Sensabaugh,placed on IL with sore left hip,2024-02-08,2024-02-12,4
 Brice Sensabaugh,placed on IL with illness,2025-01-07,2025-01-12,5
 Bronny James,placed on IL with illness,2025-01-13,2025-01-16,3
 Bronny James,placed on IL with bruised left heel,2024-11-19,2024-12-07,18
 Brook Lopez,placed on IL with back injury,2025-02-03,2025-02-04,1
 Bruce Brown,placed on IL with bruised right knee,2023-12-26,2024-01-03,8
 Bruce Brown,placed on IL with bruised right knee,2024-01-06,2024-01-08,2
 Bruce Brown,placed on IL with right knee inflammation,2024-03-03,2024-03-11,8
 Bruce Brown,sore right knee,2024-04-03,2024-04-07,4
 Bruce Brown,right knee inflammation,2024-04-10,2024-04-12,2
 Bruce Brown,right knee injury,2025-01-09,2025-01-10,1
 Bruce Brown,placed on IL  surgery on right knee,2024-10-22,2024-12-29,68
 Bruce Brown,placed on IL with right knee injury,2025-01-01,2025-01-02,1
 Bruno Fernando,placed on IL with illness,2024-02-10,2024-02-12,2
 Bruno Fernando,placed on IL with lower back spasms,2024-01-24,2024-02-02,9
 Bruno Fernando,placed on IL with left big toe injury,2024-12-29,2024-12-31,2
 Bruno Fernando,placed on IL with sprained right ankle,2024-11-21,2024-11-24,3
 Bryce McGowens,placed on IL with left hip injury,2024-01-17,2024-01-20,3
 Bryce McGowens,ankle injury,2023-10-25,2023-10-27,2
 Bryce McGowens,placed on IL with strained right knee,2024-03-09,2024-03-25,16
 C.J. McCollum,placed on IL with collapsed right lung,2023-11-05,2023-11-29,24
 C.J. McCollum,placed on IL with sprained left ankle,2024-02-24,2024-02-28,4
 C.J. McCollum,placed on IL with sprained right ankle,2024-01-13,2024-01-15,2
 C.J. McCollum,placed on IL with strained right adductor,2024-11-01,2024-11-25,24
 Cade Cunningham,placed on IL with hip injury,2024-11-22,2024-11-29,7
 Cade Cunningham,left hip injury,2024-11-30,2024-12-02,2
 Cade Cunningham,left knee injury,2024-03-18,2024-03-19,1
 Cade Cunningham,left knee injury,2024-01-28,2024-01-31,3
 Cade Cunningham,placed on IL with strained left knee,2024-01-08,2024-01-27,19
 Cade Cunningham,left knee injury,2024-03-24,2024-03-27,3
 Cade Cunningham,left knee injury,2024-02-07,2024-02-08,1
 Caleb Houstan,placed on IL with sore right ankle,2024-04-01,2024-04-08,7
 Caleb Houstan,placed on IL with illness,2025-02-03,2025-02-04,1
 Caleb Martin,placed on IL with right shoulder impingement,2024-12-12,2024-12-21,9
 Caleb Martin,placed on IL with sore back,2024-11-27,2024-12-03,6
 Caleb Martin,placed on IL with right ankle injury,2024-03-30,2024-04-02,3
 Caleb Martin,placed on IL with sprained right ankle,2023-12-28,2024-01-12,15
 Caleb Martin,placed on IL with left knee tendinosis,2023-10-28,2023-11-15,18
 Cam Reddish,right groin injury,2023-11-30,2023-12-02,2
 Cam Reddish,placed on IL with left groin injury,2023-12-28,2023-12-30,2
 Cam Reddish,left groin injury,2023-12-31,2024-01-03,3
 Cam Reddish,placed on IL with sore left knee,2024-01-14,2024-01-21,7
 Cam Reddish,sore right knee,2023-12-15,2023-12-17,2
 Cam Reddish,placed on IL with sprained right ankle,2024-03-10,2024-03-22,12
 Cam Reddish,placed on IL with sprained right ankle,2024-04-16,2024-04-30,14
 Cam Reddish,peroneal injury in right foot,2024-11-16,2024-11-18,2
 Cam Reddish,illness,2024-12-01,2024-12-02,1
 Cam Reddish,back injury,2025-01-07,2025-01-10,3
 Cam Reddish,placed on IL with groin injury,2023-11-22,2023-11-29,7
 Cam Reddish,placed on IL with sprained right ankle,2024-01-27,2024-02-28,32
 Cam Spencer,placed on IL with sprained right ankle,2024-10-21,2024-11-20,30
 Cam Whitmore,illness,2025-01-27,2025-01-28,1
 Cam Whitmore,placed on IL with sprained right knee,2024-03-12,2024-03-31,19
 Cam Whitmore,placed on IL with sprained right ankle,2024-02-10,2024-02-21,11
 Cam Whitmore,placed on IL with sore left knee,2024-11-18,2024-11-20,2
 Cameron Bairstow,placed on IL,2015-02-20,2015-02-21,1
 Cameron Johnson,placed on IL with sprained right ankle,2025-01-04,2025-01-14,10
 Cameron Johnson,placed on IL with sprained right ankle,2025-01-25,2025-02-05,11
 Cameron Johnson,sprained right ankle,2025-01-15,2025-01-19,4
 Cameron Johnson,hip injury,2024-12-27,2024-12-29,2
 Cameron Johnson,sprained left ankle,2024-12-02,2024-12-04,2
 Cameron Johnson,sprained left big toe,2024-04-06,2024-04-10,4
 Cameron Johnson,sprained left big toe,2024-04-01,2024-04-03,2
 Cameron Johnson,placed on IL with sprained right ankle,2024-03-06,2024-03-13,7
 Cameron Johnson,placed on IL with left adductor injury,2024-02-06,2024-02-14,8
 Cameron Johnson,bruised left calf,2023-10-27,2023-11-10,14
 Cameron Johnson,placed on IL with sprained left big toe,2024-03-24,2024-03-31,7
 Cameron Payne,left elbow injury,2024-12-05,2024-12-09,4
 Cameron Payne,placed on IL with strained left hamstring,2024-11-06,2024-11-12,6
 Cameron Payne,illness,2024-03-03,2024-03-05,2
 Cameron Payne,placed on IL with concussion protocol,2024-01-07,2024-01-11,4
 Cameron Payne,placed on IL with sore lower back,2023-04-16,2023-04-25,9
 Cameron Thomas / Cam Thomas,placed on IL with sprained left ankle,2023-11-09,2023-11-30,21
 Cameron Thomas / Cam Thomas,tightness in lower back,2024-11-19,2024-11-22,3
 Cameron Thomas / Cam Thomas,placed on IL with strained left hamstring,2024-11-26,2024-12-29,33
 Cameron Thomas / Cam Thomas,left hamstring injury,2024-12-31,2025-01-02,2
 Cameron Thomas / Cam Thomas,tightness in lower back,2024-03-25,2024-03-27,2
 Cameron Thomas / Cam Thomas,placed on IL with sprained right ankle,2024-02-27,2024-03-09,11
 Caris LeVert,placed on IL with sore right wrist,2024-03-29,2024-03-31,2
 Caris LeVert,placed on IL with sprained right elbow,2024-03-03,2024-03-05,2
 Caris LeVert,placed on IL with sore left knee,2024-04-13,2024-04-19,6
 Caris LeVert,sprained right wrist,2024-01-20,2024-01-24,4
 Caris LeVert,left knee tendinitis,2023-12-23,2023-12-27,4
 Caris LeVert,placed on IL with left knee injury,2023-12-06,2023-12-12,6
 Caris LeVert,placed on IL with left hamstring injury,2023-10-31,2023-11-01,1
 Caris LeVert,placed on IL with sore right knee,2024-11-02,2024-11-06,4
 Caris LeVert,placed on IL with left knee inflammation,2024-11-19,2024-11-29,10
 Caris LeVert,placed on IL with wrist injury,2025-01-20,2025-02-02,13
 Caris LeVert,sore left knee,2023-11-19,2023-11-22,3
 Caron Butler,placed on IL with back spasms,2015-02-11,2015-02-20,9
 Cason Wallace,placed on IL with bruised left quadriceps,2024-12-27,2024-12-29,2
 Cedi Osman,placed on IL with sprained left ankle,2024-03-08,2024-03-17,9
 Chris Boucher,placed on IL with illness,2025-02-04,2025-02-05,1
 Chris Boucher,placed on IL with illness,2024-02-28,2024-03-01,2
 Chris Duarte,placed on IL with sore left knee,2023-12-04,2023-12-08,4
 Chris Duarte,placed on IL with sprained right ankle,2024-02-07,2024-02-13,6
 Chris Kaman,placed on IL with ankle injury,2015-02-11,2015-02-20,9
 Chris Livingston,placed on IL with sprained left ankle,2023-12-11,2023-12-15,4
 Chris Livingston,placed on IL with sprained left ankle,2023-11-12,2023-11-22,10
 Chris Livingston,placed on IL with illness,2024-12-25,2024-12-28,3
 Chris Livingston,placed on IL with sprained left ankle,2024-12-04,2024-12-14,10
 Chris Livingston,placed on IL with illness,2024-04-26,2024-04-29,3
 Chris Livingston,placed on IL with sprained left ankle,2024-03-17,2024-03-20,3
 Chris Livingston,placed on IL with strained right groin,2024-03-04,2024-03-06,2
 Chris Livingston,placed on IL with illness,2024-01-14,2024-01-16,2
 Chris Paul,placed on IL with fractured hand,2024-01-06,2024-02-26,51
 Chris Paul,illness,2023-12-08,2023-12-11,3
 Chris Paul,placed on IL with bruised nerve in left lower leg,2023-11-29,2023-12-06,7
 Christian Braun,placed on IL with strained lower back,2024-12-16,2024-12-19,3
 Christian Koloko,respiratory ailment,2023-10-02,2024-01-17,107
 Christian Koloko,blood clots,2024-10-21,2024-10-29,8
 Christian Wood,migraine headache,2024-01-11,2024-01-13,2
 Christian Wood,placed on IL with left knee injury,2024-02-21,2024-04-27,66
 Clint Capela,placed on IL with sore right Achilles,2024-01-10,2024-01-12,2
 Clint Capela,placed on IL with strained left adductor,2024-02-04,2024-02-22,18
 Clint Capela,placed on IL with sore right knee,2025-01-23,2025-01-24,1
 Clint Capela,placed on IL with sore left knee,2023-12-16,2023-12-18,2
 Coby White,placed on IL with sore ankle,2025-01-23,2025-01-29,6
 Coby White,placed on IL with sprained left ankle,2024-12-02,2024-12-06,4
 Coby White,placed on IL with sore right hip,2024-03-14,2024-03-21,7
 Cody Martin,placed on IL with bruised right knee,2024-02-04,2024-02-07,3
 Cody Martin,placed on IL with sore left knee,2023-10-24,2023-12-23,60
 Cody Martin,placed on IL with strained groin,2024-01-08,2024-01-14,6
 Cody Martin,placed on IL with bruised right knee,2024-01-22,2024-01-24,2
 Cody Martin,placed on IL with sore left knee,2024-12-28,2025-01-03,6
 Cody Zeller,placed on IL with bruised/sore left knee,2024-02-12,2024-02-22,10
 Cody Zeller,placed on IL with sprained right ankle,2023-12-23,2023-12-26,3
 Colby Jones,placed on IL with sore lower back,2023-12-07,2023-12-11,4
 Cole Anthony,illness,2025-01-21,2025-01-25,4
 Cole Anthony,placed on IL with bruised quadriceps,2024-01-03,2024-01-04,1
 Colin Castleton,placed on IL with fractured right wrist,2024-02-25,2024-03-27,31
 Collin Gillespie,placed on IL with fractured right ankle,2024-11-12,2025-01-05,54
 Corey Kispert,illness,2024-02-25,2024-02-27,2
 Corey Kispert,placed on IL with sprained left ankle,2023-11-03,2023-11-06,3
 Craig Porter Jr.,placed on IL with illness,2024-03-29,2024-04-06,8
 Craig Porter Jr.,placed on IL with sprained right thumb,2024-10-28,2024-11-02,5
 Craig Porter Jr.,placed on IL with sprained left ankle,2024-12-16,2024-12-19,3
 Craig Porter Jr.,placed on IL with illness,2025-02-02,2025-02-03,1
 D'Angelo Russell,sprained left thumb,2024-12-25,2024-12-28,3
 D'Angelo Russell,placed on IL with illness,2024-12-01,2024-12-02,1
 D'Angelo Russell,placed on IL with illness,2024-03-24,2024-03-25,1
 D'Angelo Russell,sore left knee,2024-02-08,2024-02-09,1
 D'Angelo Russell,bruised right shin,2025-01-15,2025-01-16,1
 D'Angelo Russell,migraine headache,2023-12-15,2023-12-18,3
 D'Angelo Russell,left hamstring injury,2025-01-22,2025-01-25,3
 D'Angelo Russell,placed on IL with bruised right shin,2025-01-12,2025-01-14,2
 D'Angelo Russell,placed on IL with bruised tailbone,2024-01-05,2024-01-07,2
 D.J. Carton,placed on IL with ankle injury,2024-11-18,2024-11-29,11
 DaQuan Jeffries,placed on IL with illness,2025-01-12,2025-01-15,3
 DaQuan Jeffries,placed on IL with thigh injury,2025-01-03,2025-01-05,2
 DaQuan Jeffries,placed on IL with illness,2023-12-05,2023-12-07,2
 DaQuan Jeffries,fractured hand,2024-10-09,2024-12-03,55
 DaQuan Jeffries,placed on IL with illness,2023-12-23,2023-12-24,1
 Daishen Nix,placed on IL with sprained right ankle,2024-12-24,2024-12-31,7
 Dalano Banton,placed on IL with sprained left ankle,2024-04-11,2024-04-12,1
 Dalano Banton,bruised left hip,2024-12-19,2024-12-23,4
 Dalano Banton,bruised left hip,2024-12-26,2025-01-02,7
 Dalano Banton,placed on IL with illness,2023-12-15,2023-12-17,2
 Dalen Terry,placed on IL with sprained right ankle,2024-01-31,2024-02-06,6
 Dalen Terry,placed on IL with bruised right knee,2024-12-13,2024-12-21,8
 Dalen Terry,placed on IL with left knee tendinitis,2023-11-11,2023-11-20,9
 Damian Lillard,placed on IL with sore left groin,2025-02-03,2025-02-05,2
 Damian Lillard,placed on IL with concussion protocol,2024-11-11,2024-11-18,7
 Damian Lillard,placed on IL with sprained left ankle,2024-02-06,2024-02-09,3
